seccion,titular,enlace_noticia
Cambio climático,Así se registró el desprendimiento del iceberg más grande del mundo,https://www.latercera.com/la-tercera-tv/noticia/asi-se-registro-el-desprendimiento-del-iceberg-mas-grande-del-mundo/WMHOWEFXAFFJNL7JUVHX5HX4KA/
Medioambiente,Colosal iceberg se desprende en la Antártica: es seis veces más grande que Santiago,https://www.latercera.com/que-pasa/noticia/colosal-iceberg-se-desprende-en-la-antartica-es-seis-veces-mas-grande-que-santiago/ELRM64VGQRGJRACWTI42MFN4UQ/
Opinión,Desafíos que trascienden a la electrificación y la descarbonización,https://www.latercera.com/que-pasa/noticia/desafios-que-trascienden-a-la-electrificacion-y-la-descarbonizacion/G37W4K3X3BBSXDS3ORI3MLNEW4/
Ciencia,Enjambre de tornados: la tormenta perfecta que está desencadenando estos fenómenos climáticos en Chile,https://www.latercera.com/que-pasa/noticia/enjambre-de-tornados-la-tormenta-perfecta-que-esta-desencadenando-estos-fenomenos-climaticos-en-chile/LD6NRTVW2BF6THA5ITYGGOFI7Y/
Alimentos,El maíz alcanza máximo de ocho años por sequía en Brasil,https://www.latercera.com/pulso/noticia/el-maiz-alcanza-maximo-de-ocho-anos-por-sequia-en-brasil/RKBCYH64VJCUJAXH5WIBS4FSL4/
Ciencia,Científicos alertan sobre el acelerado deshielo de los glaciares en el mundo,https://www.latercera.com/la-tercera-tv/noticia/cientificos-alertan-sobre-el-acelerado-deshielo-de-los-glaciares-en-el-mundo/M375KMS5JVF3BDQVZXM4DHYH3Q/
Pulso PM,El futuro del salmón peligra por el cambio climático,https://www.latercera.com/pulso-pm/noticia/el-futuro-del-salmon-peligra-por-el-cambio-climatico/SP5CJEZQQRH4XJH4VS74X4R4NU/
Medioambiente,El cambio climático ha alterado el eje terrestre,https://www.latercera.com/que-pasa/noticia/el-cambio-climatico-ha-alterado-el-eje-terrestre/PUQVVUXUEVBAVAEPU3YCIQ672Q/
La Tercera PM,Bolsonaro y cumbre del clima convocada por Biden: su propuesta para deshacerse de su imagen de villano ambiental,https://www.latercera.com/la-tercera-pm/noticia/bolsonaro-y-cumbre-del-clima-convocada-por-biden-su-propuesta-para-deshacerse-de-su-imagen-de-villano-ambiental/LC2DFH6FLJCKLPDTFHR54AHU5Q/
Medioamabiente,Alarmante estimación proyecta que cordillera de los Andes se quedaría sin nieve y los ríos de la zona central se podrían secar en un plazo de 40 años,https://www.latercera.com/que-pasa/noticia/alarmante-estimacion-proyecta-que-cordillera-de-los-andes-se-quedaria-sin-nieve-y-los-rios-de-la-zona-central-se-podrian-secar-en-un-plazo-de-40-anos/QRIIWPE7VNAWPIMYGGFJ6N7WXI/
Medioambiente,Chile es el país donde más se le exige al gobierno y las empresas que tomen medidas concretas contra el cambio climático,https://www.latercera.com/que-pasa/noticia/chile-es-el-pais-donde-mas-se-le-exige-al-gobierno-y-las-empresas-que-tomen-medidas-concretas-contra-el-cambio-climatico/4CCZWMJSPZGLXCCZYU35YUGLBI/
Medioambiente,Tara: El velero internacional que investiga el rol del océano en el cambio climático llega a Valparaíso,https://www.latercera.com/que-pasa/noticia/tara-el-velero-internacional-que-investiga-el-rol-del-oceano-en-el-cambio-climatico-llega-a-valparaiso/AEXJBXYZVJAJPJCXUFHHDGEISE/
Medioambiente,Biden inicia cumbre virtual del clima junto a 40 líderes mundiales: EE.UU. se compromete a reducir hasta en un 52% sus emisiones para 2030,https://www.latercera.com/que-pasa/noticia/biden-inicia-cumbre-virtual-del-clima-junto-a-40-lideres-mundiales-eeuu-se-comprometera-a-reducir-hasta-en-un-52-sus-emisiones-para-2030/YXR5VOXRPBCXVGGRZ6B3PQSDMQ/
La Tercera AM,Jefe de la ONU: Estados Unidos debe reducir a la mitad las emisiones para impulsar la acción climática global,https://www.latercera.com/earlyaccess/noticia/jefe-de-la-onu-estados-unidos-debe-reducir-a-la-mitad-las-emisiones-para-impulsar-la-accion-climatica-global/GPJ7V6J6XBCO5BAIHNPRR3PG3A/
Medioambiente,El nuevo reto de Jeff Bezos: reducir en 10 años las emisiones de carbono,https://www.latercera.com/que-pasa/noticia/el-nuevo-reto-de-jeff-bezos-reducir-en-10-anos-las-emisiones-de-carbono/PPDERVGEPNDGPCUHBETOH2TQYM/
Medioambiente,"Marejadas, sequía, olas de calor e incendios forestales: Estudio proyecta aumento en frecuencia e intensidad de fenómenos naturales en Chile por cambio climático",https://www.latercera.com/que-pasa/noticia/marejadas-sequia-olas-de-calor-e-incendios-forestales-estudio-proyecta-aumento-en-frecuencia-e-intensidad-de-fenomenos-naturales-en-chile-por-cambio-climatico/RF6LY34DVVH4HC4UAYLZTQQLDU/
Medioambiente,Estudio UC estima un potencial déficit de energía eléctrica desde 2035 por efectos del cambio climático,https://www.latercera.com/que-pasa/noticia/estudio-uc-estima-un-potencial-deficit-de-energia-electrica-desde-2035-por-efectos-del-cambio-climatico/TCRVFVVSW5GDLI4B67L4YPRYKM/
